,EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,YearlyIncome,Attrition
0,104,30.0,Travel_Rarely,852.0,Research & Development,1.0,1.0,Life Sciences,1.0,4.0,Male,55.0,2.0,2.0,Laboratory Technician,4.0,Married,5126.0,15998.0,1.0,Y,Yes,12.0,3.0,3.0,80.0,2.0,10.0,1.0,2.0,10.0,8.0,3.0,0.0,61512.0,No
1,1638,38.0,Travel_Rarely,397.0,Research & Development,2.0,2.0,Medical,1.0,4.0,Female,54.0,2.0,3.0,Manufacturing Director,3.0,Married,7756.0,14199.0,3.0,Y,Yes,19.0,3.0,4.0,80.0,1.0,10.0,6.0,4.0,5.0,4.0,0.0,2.0,93072.0,No
2,164,26.0,Travel_Rarely,841.0,Research & Development,6.0,3.0,Other,1.0,3.0,Female,46.0,2.0,1.0,Research Scientist,2.0,Married,2368.0,23300.0,1.0,Y,No,19.0,3.0,3.0,80.0,0.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,28416.0,No
3,395,28.0,Travel_Rarely,1117.0,Research & Development,8.0,2.0,Life Sciences,1.0,4.0,Female,66.0,3.0,1.0,Research Scientist,4.0,Single,3310.0,4488.0,1.0,Y,No,21.0,4.0,4.0,80.0,0.0,5.0,3.0,3.0,5.0,3.0,0.0,2.0,39720.0,No
4,53,35.0,Travel_Rarely,464.0,Research & Development,4.0,2.0,Other,1.0,3.0,Male,75.0,3.0,1.0,Laboratory Technician,4.0,Divorced,1951.0,10910.0,1.0,Y,No,12.0,3.0,3.0,80.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,23412.0,No
5,1467,34.0,Travel_Rarely,1107.0,Human Resources,9.0,4.0,Technical Degree,1.0,1.0,Female,52.0,3.0,1.0,Human Resources,3.0,Married,2742.0,3072.0,1.0,Y,No,15.0,3.0,4.0,80.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,32904.0,Yes
6,727,32.0,Travel_Rarely,1018.0,Research & Development,3.0,2.0,Life Sciences,1.0,3.0,Female,39.0,3.0,3.0,Research Director,4.0,Single,11159.0,19373.0,3.0,Y,No,15.0,3.0,4.0,80.0,0.0,10.0,6.0,3.0,7.0,7.0,7.0,7.0,133908.0,No
7,351,42.0,Travel_Rarely,269.0,Research & Development,2.0,3.0,Medical,1.0,4.0,Female,56.0,2.0,1.0,Laboratory Technician,1.0,Divorced,2593.0,8007.0,0.0,Y,Yes,11.0,3.0,3.0,80.0,1.0,10.0,4.0,3.0,9.0,6.0,7.0,8.0,31116.0,No
8,555,34.0,Travel_Frequently,296.0,Sales,6.0,2.0,Marketing,1.0,4.0,Female,33.0,1.0,1.0,Sales Representative,3.0,Divorced,2351.0,12253.0,0.0,Y,No,16.0,3.0,4.0,80.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,28212.0,Yes
9,253,40.0,Travel_Rarely,989.0,Research & Development,4.0,1.0,Medical,1.0,4.0,Female,46.0,3.0,5.0,Manager,3.0,Married,19033.0,6499.0,1.0,Y,No,14.0,3.0,2.0,80.0,1.0,21.0,2.0,3.0,20.0,8.0,9.0,9.0,228396.0,No
